"id";"COD_VENDEDOR";"ano";"mes";"tipo";"valor_meta";"data_criacao";"data_atualizacao"
"291";"010178";"2026";"3";"faturamento";"0,00";"13/02/2026 09:35:43";"17/06/2026 15:16:06"
"292";"010178";"2026";"4";"faturamento";"0,00";"13/02/2026 09:35:43";"17/06/2026 15:16:06"
"293";"010178";"2026";"5";"faturamento";"0,00";"13/02/2026 09:35:43";"17/06/2026 15:16:06"
"294";"010178";"2026";"6";"faturamento";"0,00";"13/02/2026 09:35:43";"17/06/2026 15:16:06"
"295";"010178";"2026";"7";"faturamento";"0,00";"13/02/2026 09:35:43";"17/06/2026 15:16:06"
"296";"010178";"2026";"8";"faturamento";"0,00";"13/02/2026 09:35:43";"17/06/2026 15:16:06"
"297";"010178";"2026";"9";"faturamento";"0,00";"13/02/2026 09:35:43";"17/06/2026 15:16:06"
"298";"010178";"2026";"10";"faturamento";"0,00";"13/02/2026 09:35:43";"17/06/2026 15:16:06"
"299";"010178";"2026";"11";"faturamento";"0,00";"13/02/2026 09:35:43";"17/06/2026 15:16:06"
"300";"010178";"2026";"12";"faturamento";"0,00";"13/02/2026 09:35:43";"17/06/2026 15:16:06"
"325";"010192";"2026";"1";"faturamento";"0,00";"13/02/2026 09:35:43";"18/05/2026 16:36:00"
"326";"010192";"2026";"2";"faturamento";"0,00";"13/02/2026 09:35:43";"18/05/2026 16:36:00"
"327";"010192";"2026";"3";"faturamento";"0,00";"13/02/2026 09:35:43";"18/05/2026 16:36:00"
"328";"010192";"2026";"4";"faturamento";"0,00";"13/02/2026 09:35:43";"18/05/2026 16:36:00"
"329";"010192";"2026";"5";"faturamento";"0,00";"13/02/2026 09:35:43";"18/05/2026 16:36:00"
"330";"010192";"2026";"6";"faturamento";"0,00";"13/02/2026 09:35:43";"18/05/2026 16:36:00"
"331";"010192";"2026";"7";"faturamento";"0,00";"13/02/2026 09:35:43";"18/05/2026 16:36:00"
"332";"010192";"2026";"8";"faturamento";"0,00";"13/02/2026 09:35:43";"18/05/2026 16:36:00"
"333";"010192";"2026";"9";"faturamento";"0,00";"13/02/2026 09:35:43";"18/05/2026 16:36:00"
"334";"010192";"2026";"10";"faturamento";"0,00";"13/02/2026 09:35:43";"18/05/2026 16:36:00"
"335";"010192";"2026";"11";"faturamento";"0,00";"13/02/2026 09:35:43";"18/05/2026 16:36:00"
"336";"010192";"2026";"12";"faturamento";"0,00";"13/02/2026 09:35:43";"18/05/2026 16:36:00"
"362";"010217";"2026";"2";"faturamento";"20000,00";"13/02/2026 09:35:43";"05/08/2026 10:28:31"
"364";"010217";"2026";"4";"faturamento";"20000,00";"13/02/2026 09:35:43";"05/08/2026 10:28:33"
"365";"010217";"2026";"5";"faturamento";"20000,00";"13/02/2026 09:35:43";"05/08/2026 10:28:34"
"366";"010217";"2026";"6";"faturamento";"20000,00";"13/02/2026 09:35:43";"05/08/2026 10:28:35"
"367";"010217";"2026";"7";"faturamento";"20000,00";"13/02/2026 09:35:43";"29/07/2026 20:22:04"
"368";"010217";"2026";"8";"faturamento";"0,00";"13/02/2026 09:35:43";"01/09/2026 10:04:04"
"369";"010217";"2026";"9";"faturamento";"20000,00";"13/02/2026 09:35:43";"05/08/2026 10:28:38"
"370";"010217";"2026";"10";"faturamento";"20000,00";"13/02/2026 09:35:43";"05/08/2026 10:28:39"
"371";"010217";"2026";"11";"faturamento";"20000,00";"13/02/2026 09:35:43";"05/08/2026 10:28:41"
"372";"010217";"2026";"12";"faturamento";"20000,00";"13/02/2026 09:35:43";"05/08/2026 10:28:43"
"445";"010266";"2026";"1";"faturamento";"5648,00";"13/02/2026 09:35:44";"19/05/2026 10:54:41"
"446";"010266";"2026";"2";"faturamento";"6435,00";"13/02/2026 09:35:44";"13/02/2026 09:35:44"
"448";"010266";"2026";"4";"faturamento";"80000,00";"13/02/2026 09:35:44";"07/04/2026 12:25:28"
"530";"010326";"2026";"2";"faturamento";"5604,00";"13/02/2026 09:35:44";"19/05/2026 10:54:41"
"532";"010326";"2026";"4";"faturamento";"80000,00";"13/02/2026 09:35:44";"07/04/2026 12:25:28"
"565";"010358";"2026";"1";"faturamento";"0,00";"13/02/2026 09:35:45";"17/06/2026 15:16:08"
"566";"010358";"2026";"2";"faturamento";"0,00";"13/02/2026 09:35:45";"17/06/2026 15:16:08"
"567";"010358";"2026";"3";"faturamento";"0,00";"13/02/2026 09:35:45";"17/06/2026 15:16:08"
"568";"010358";"2026";"4";"faturamento";"0,00";"13/02/2026 09:35:45";"17/06/2026 15:16:08"
"569";"010358";"2026";"5";"faturamento";"0,00";"13/02/2026 09:35:45";"17/06/2026 15:16:08"
"570";"010358";"2026";"6";"faturamento";"0,00";"13/02/2026 09:35:45";"17/06/2026 15:16:08"
