"cod_municipio";"pea_total";"ano_base_pea";"populacao";"ano_base_pop";"pib_total_reais";"ano_base_pib";"num_supermercados";"supermercados_pessoal_ocupado";"supermercados_massa_salarial_reais";"ano_base_supermercados";"atualizado_em"
"1101401";"6858,00";"2010";"11548,00";"2022";"452939000,00";"2022";"8";"47";"894000,00";"2024";"21/07/2026 15:42:52"
"1101435";"4070,00";"2010";"6200,00";"2022";"168139000,00";"2022";"2";"0";"0,00";"2024";"21/07/2026 15:42:52"
"1101450";"2055,00";"2010";"4125,00";"2022";"164073000,00";"2022";"2";"0";"0,00";"2024";"21/07/2026 15:42:52"
"1101468";"1080,00";"2010";"2156,00";"2022";"327048000,00";"2022";"2";"0";"0,00";"2024";"21/07/2026 15:42:52"
"1101476";"1476,00";"2010";"3076,00";"2022";"130973000,00";"2022";"2";"0";"0,00";"2024";"21/07/2026 15:42:52"
"1101484";"2811,00";"2010";"5258,00";"2022";"157330000,00";"2022";"1";"0";"0,00";"2024";"21/07/2026 15:42:52"
"1101492";"8245,00";"2010";"16286,00";"2022";"573985000,00";"2022";"5";"0";"0,00";"2024";"21/07/2026 15:42:52"
"1101500";"6199,00";"2010";"11171,00";"2022";"381163000,00";"2022";"2";"0";"0,00";"2024";"21/07/2026 15:42:52"
"1101559";"2535,00";"2010";"4256,00";"2022";"141105000,00";"2022";"0";"0";"0,00";"";"21/07/2026 15:42:52"
"1101609";"5415,00";"2010";"8113,00";"2022";"284565000,00";"2022";"2";"0";"0,00";"2024";"21/07/2026 15:42:52"
"1101708";"6391,00";"2010";"10725,00";"2022";"317568000,00";"2022";"1";"0";"0,00";"2024";"21/07/2026 15:42:52"
"1101757";"4539,00";"2010";"7788,00";"2022";"234965000,00";"2022";"1";"0";"0,00";"2024";"21/07/2026 15:42:52"
"1101807";"3115,00";"2010";"6479,00";"2022";"199086000,00";"2022";"5";"42";"543000,00";"2024";"21/07/2026 15:42:52"
"1200013";"5094,00";"2010";"14021,00";"2022";"445829000,00";"2022";"6";"0";"0,00";"2024";"21/07/2026 15:42:52"
"1200054";"2151,00";"2010";"8100,00";"2022";"164921000,00";"2022";"4";"51";"955000,00";"2024";"21/07/2026 15:42:52"
"1200104";"8547,00";"2010";"26000,00";"2022";"820793000,00";"2022";"11";"0";"0,00";"2024";"21/07/2026 15:42:52"
"1200138";"3345,00";"2010";"12917,00";"2022";"344752000,00";"2022";"2";"0";"0,00";"2024";"21/07/2026 15:42:52"
"1200179";"4038,00";"2010";"10392,00";"2022";"717612000,00";"2022";"1";"0";"0,00";"2024";"21/07/2026 15:42:52"
"1200203";"30252,00";"2010";"91888,00";"2022";"2313075000,00";"2022";"25";"0";"0,00";"2024";"21/07/2026 15:42:52"
"1200252";"6585,00";"2010";"18757,00";"2022";"776868000,00";"2022";"10";"163";"3029000,00";"2024";"21/07/2026 15:42:52"
"1200302";"11033,00";"2010";"35426,00";"2022";"639844000,00";"2022";"9";"35";"354000,00";"2024";"21/07/2026 15:42:52"
"1200328";"1804,00";"2010";"9222,00";"2022";"136531000,00";"2022";"0";"0";"0,00";"";"21/07/2026 15:42:52"
"1200336";"5115,00";"2010";"19294,00";"2022";"289345000,00";"2022";"6";"57";"1107000,00";"2024";"21/07/2026 15:42:52"
"1200344";"2980,00";"2010";"11996,00";"2022";"231082000,00";"2022";"3";"6";"8000,00";"2024";"21/07/2026 15:42:52"
"1200351";"5275,00";"2010";"17093,00";"2022";"256481000,00";"2022";"2";"0";"0,00";"2024";"21/07/2026 15:42:52"
"1200385";"5920,00";"2010";"16560,00";"2022";"829047000,00";"2022";"4";"23";"380000,00";"2024";"21/07/2026 15:42:52"
"1200393";"3486,00";"2010";"10735,00";"2022";"177517000,00";"2022";"2";"0";"0,00";"2024";"21/07/2026 15:42:52"
"1200401";"154286,00";"2010";"364756,00";"2022";"11266899000,00";"2022";"24";"4176";"133473000,00";"2024";"21/07/2026 15:42:52"
"1200427";"4779,00";"2010";"14938,00";"2022";"253225000,00";"2022";"0";"0";"0,00";"";"21/07/2026 15:42:52"
"1200435";"1248,00";"2010";"6723,00";"2022";"114984000,00";"2022";"0";"0";"0,00";"";"21/07/2026 15:42:52"
"1200450";"8289,00";"2010";"21454,00";"2022";"1037716000,00";"2022";"2";"0";"0,00";"2024";"21/07/2026 15:42:52"
"1200500";"15941,00";"2010";"41343,00";"2022";"841621000,00";"2022";"3";"9";"90000,00";"2024";"21/07/2026 15:42:52"
"1200609";"11961,00";"2010";"43467,00";"2022";"800496000,00";"2022";"8";"0";"0,00";"2024";"21/07/2026 15:42:52"
"1200708";"6895,00";"2010";"18243,00";"2022";"632360000,00";"2022";"9";"65";"988000,00";"2024";"21/07/2026 15:42:52"
"1200807";"4640,00";"2010";"16693,00";"2022";"585139000,00";"2022";"2";"0";"0,00";"2024";"21/07/2026 15:42:52"
"1300029";"3731,00";"2010";"15866,00";"2022";"222262000,00";"2022";"1";"0";"0,00";"2024";"21/07/2026 15:42:52"
"1300060";"2404,00";"2010";"10819,00";"2022";"124175000,00";"2022";"1";"0";"0,00";"2024";"21/07/2026 15:42:52"
"1300086";"4202,00";"2010";"9962,00";"2022";"135488000,00";"2022";"1";"0";"0,00";"2024";"21/07/2026 15:42:52"
"1300102";"6669,00";"2010";"17194,00";"2022";"252603000,00";"2022";"1";"0";"0,00";"2024";"21/07/2026 15:42:52"
"1300144";"8184,00";"2010";"20647,00";"2022";"321020000,00";"2022";"2";"0";"0,00";"2024";"21/07/2026 15:42:52"
"1300201";"5611,00";"2010";"15314,00";"2022";"177565000,00";"2022";"2";"0";"0,00";"2024";"21/07/2026 15:42:52"
"1300300";"11988,00";"2010";"41564,00";"2022";"567928000,00";"2022";"23";"0";"0,00";"2024";"21/07/2026 15:42:52"
"1300409";"7077,00";"2010";"18834,00";"2022";"207959000,00";"2022";"1";"0";"0,00";"2024";"21/07/2026 15:42:52"
"1300508";"9776,00";"2010";"31051,00";"2022";"377493000,00";"2022";"6";"7";"130000,00";"2024";"21/07/2026 15:42:52"
"1300607";"12549,00";"2010";"37648,00";"2022";"390616000,00";"2022";"6";"0";"0,00";"2024";"21/07/2026 15:42:52"
"1300631";"5172,00";"2010";"20718,00";"2022";"239687000,00";"2022";"2";"0";"0,00";"2024";"21/07/2026 15:42:52"
"1300680";"5333,00";"2010";"23785,00";"2022";"216113000,00";"2022";"1";"0";"0,00";"2024";"21/07/2026 15:42:52"
"1300706";"10919,00";"2010";"35447,00";"2022";"576051000,00";"2022";"5";"12";"75000,00";"2024";"21/07/2026 15:42:52"
"1300805";"13464,00";"2010";"33080,00";"2022";"415321000,00";"2022";"34";"73";"825000,00";"2024";"21/07/2026 15:42:52"
"1300839";"3615,00";"2010";"13469,00";"2022";"195341000,00";"2022";"0";"0";"0,00";"";"21/07/2026 15:42:52"
"1300904";"4957,00";"2010";"16869,00";"2022";"177303000,00";"2022";"2";"0";"0,00";"2024";"21/07/2026 15:42:52"
"1301001";"9711,00";"2010";"28742,00";"2022";"406023000,00";"2022";"11";"0";"0,00";"2024";"21/07/2026 15:42:52"
"1301100";"9118,00";"2010";"30792,00";"2022";"398453000,00";"2022";"2";"0";"0,00";"2024";"21/07/2026 15:42:52"
"1301159";"8395,00";"2010";"19637,00";"2022";"355857000,00";"2022";"1";"0";"0,00";"2024";"21/07/2026 15:42:52"
"1301209";"28863,00";"2010";"70616,00";"2022";"4861891000,00";"2022";"6";"7";"0,00";"2024";"21/07/2026 15:42:52"
"1301308";"8424,00";"2010";"23549,00";"2022";"522891000,00";"2022";"4";"0";"0,00";"2024";"21/07/2026 15:42:52"
"1301407";"12309,00";"2010";"33170,00";"2022";"578742000,00";"2022";"3";"3";"0,00";"2024";"21/07/2026 15:42:52"
"1301506";"5241,00";"2010";"17186,00";"2022";"209889000,00";"2022";"10";"13";"5000,00";"2024";"21/07/2026 15:42:52"
"1301605";"8190,00";"2010";"25871,00";"2022";"297891000,00";"2022";"1";"0";"0,00";"2024";"21/07/2026 15:42:52"
"1301654";"3496,00";"2010";"13815,00";"2022";"166381000,00";"2022";"1";"0";"0,00";"2024";"21/07/2026 15:42:52"
"1301704";"15744,00";"2010";"57473,00";"2022";"960741000,00";"2022";"16";"0";"0,00";"2024";"21/07/2026 15:42:53"
"1301803";"6641,00";"2010";"24311,00";"2022";"214597000,00";"2022";"1";"0";"0,00";"2024";"21/07/2026 15:42:53"
"1301852";"15420,00";"2010";"61163,00";"2022";"1044312000,00";"2022";"5";"0";"0,00";"2024";"21/07/2026 15:42:53"
"1301902";"34869,00";"2010";"103598,00";"2022";"2775138000,00";"2022";"13";"219";"4142000,00";"2024";"21/07/2026 15:42:53"
"1301951";"1862,00";"2010";"10937,00";"2022";"161304000,00";"2022";"0";"0";"0,00";"";"21/07/2026 15:42:53"
"1302009";"3120,00";"2010";"10162,00";"2022";"173994000,00";"2022";"1";"0";"0,00";"2024";"21/07/2026 15:42:53"
"1302108";"2600,00";"2010";"8858,00";"2022";"127520000,00";"2022";"9";"0";"0,00";"2024";"21/07/2026 15:42:53"
"1302207";"4485,00";"2010";"10742,00";"2022";"130664000,00";"2022";"1";"0";"0,00";"2024";"21/07/2026 15:42:53"
"1302306";"6604,00";"2010";"25172,00";"2022";"351355000,00";"2022";"1";"0";"0,00";"2024";"21/07/2026 15:42:53"
"1302405";"15427,00";"2010";"45448,00";"2022";"665442000,00";"2022";"7";"55";"1250000,00";"2024";"21/07/2026 15:42:53"
"1302504";"34260,00";"2010";"101883,00";"2022";"1776203000,00";"2022";"16";"91";"1924000,00";"2024";"21/07/2026 15:42:53"
"1302553";"8185,00";"2010";"17107,00";"2022";"264185000,00";"2022";"0";"0";"0,00";"";"21/07/2026 15:42:53"
"1302603";"844465,00";"2010";"2063689,00";"2022";"113465435000,00";"2022";"95";"10152";"267821000,00";"2024";"21/07/2026 15:42:53"
"1302702";"18441,00";"2010";"53914,00";"2022";"781078000,00";"2022";"11";"58";"816000,00";"2024";"21/07/2026 15:42:53"
"1302801";"5401,00";"2010";"15529,00";"2022";"181102000,00";"2022";"1";"0";"0,00";"2024";"21/07/2026 15:42:53"
"1302900";"19792,00";"2010";"61204,00";"2022";"649736000,00";"2022";"4";"5";"0,00";"2024";"21/07/2026 15:42:53"
"1303007";"6189,00";"2010";"20136,00";"2022";"220804000,00";"2022";"3";"3";"0,00";"2024";"21/07/2026 15:42:53"
"1303106";"13238,00";"2010";"27062,00";"2022";"325558000,00";"2022";"8";"0";"0,00";"2024";"21/07/2026 15:42:53"
"1303205";"5480,00";"2010";"15761,00";"2022";"201710000,00";"2022";"3";"3";"0,00";"2024";"21/07/2026 15:42:53"
"1303304";"8754,00";"2010";"23818,00";"2022";"264810000,00";"2022";"4";"4";"0,00";"2024";"21/07/2026 15:42:53"
"1303403";"38823,00";"2010";"96372,00";"2022";"1511650000,00";"2022";"23";"517";"9726000,00";"2024";"21/07/2026 15:42:53"
"1303502";"6761,00";"2010";"19373,00";"2022";"221858000,00";"2022";"4";"4";"0,00";"2024";"21/07/2026 15:42:53"
"1303536";"12056,00";"2010";"30668,00";"2022";"592973000,00";"2022";"6";"0";"0,00";"2024";"21/07/2026 15:42:53"
"1303569";"11540,00";"2010";"24936,00";"2022";"406487000,00";"2022";"2";"0";"0,00";"2024";"21/07/2026 15:42:53"
"1303601";"4930,00";"2010";"14164,00";"2022";"197124000,00";"2022";"0";"0";"0,00";"";"21/07/2026 15:42:53"
"1303700";"7070,00";"2010";"28211,00";"2022";"305336000,00";"2022";"2";"0";"0,00";"2024";"21/07/2026 15:42:53"
